year,month,rides,passengers,distance,cost,YM,rides_z,cost_z
2018,4,9270605,14833064,27208147.77,151561112.55000588,2018-04-01,-0.1843089269894966,0.06346629805173536
2018,5,9213387,14710810,27761690.330000002,154900825.32000604,2018-05-01,-0.19671733314616477,0.1218606059981427
2018,6,8691541,13884239,26134099.62,144787838.62000534,2018-06-01,-0.30988586611188623,-0.05496324092739235
2018,7,7815664,12548732,23497098.790000003,129707202.74000399,2018-07-01,-0.49983024653909497,-0.31864558616224814
2018,8,7840549,12558363,23738729.730000004,130370389.38000423,2018-08-01,-0.494433637304087,-0.3070498809177773
2018,9,8018950,12731835,24154749.15,135164515.36000422,2018-09-01,-0.45574525136337335,-0.22322540615314718
2018,10,8825189,13847364,26430498.110000003,150082451.85000545,2018-10-01,-0.28090270231681497,0.0376121680080695
2018,11,8129352,12813279,23864513.590000004,136851405.18000454,2018-11-01,-0.4318032600929955,-0.19373042547528677
2018,12,8146161,12988852,23728260.040000003,135402927.4600048,2018-12-01,-0.4281580278393789,-0.2190568112635982
2019,1,7636645,11942721,21592783.310000002,120707604.78000313,2019-01-01,-0.5386526531552049,-0.4760020209403576
2019,2,7032028,11031642,20506609.900000002,131460051.9700033,2019-02-01,-0.6697710652847136,-0.287997316454851
2019,3,7846617,12339755,23711790.720000003,151518571.54000464,2019-03-01,-0.4931177190867662,0.06272247575040504
2019,4,7468749,11725668,22694015.09,144890623.06000414,2019-04-01,-0.5750629044761171,-0.0531660725315638
2019,5,7586869,11887851,23240250.280000005,149156560.42000434,2019-05-01,-0.5494471727968266,0.021423114334324467
2019,6,6938542,10856459,21577239.470000003,137698998.51000354,2019-06-01,-0.690044620074505,-0.1789104007204992
2019,7,6297183,9879542,19572971.6,123478143.24000274,2019-07-01,-0.8291309733939941,-0.42755962868918973
2019,8,6060075,9518867,19147523.560000002,119213072.23000251,2019-08-01,-0.8805506729115458,-0.5021336675731493
2019,9,6547441,10123422,20209797.630000003,130449579.97000298,2019-09-01,-0.7748595394404225,-0.3056652469635092
2019,10,7207069,11065483,21733924.220000003,142344984.52000374,2019-10-01,-0.6318113354432415,-0.0976761280549972
2019,11,6846922,10528684,20045858.080000002,132894467.97000344,2019-11-01,-0.7099135104948959,-0.26291679744145763
2019,12,6870719,10625597,20422100.77,134977173.8700037,2019-12-01,-0.7047528470444043,-0.22650104014074557
2020,1,6346931,9575597,18585554.3,118430111.09000224,2020-01-01,-0.8183425258865327,-0.5158236095136484
2020,2,6267871,9402562,17951111.490000002,116544546.96000215,2020-02-01,-0.8354876304121397,-0.5487923766031365
2020,3,2970721,4336841,9270363.97,56023002.13999932,2020-03-01,-1.5505139570830895,-1.6070012613185038
2020,4,237667,302438,960553.18,3900257.7699999963,2020-04-01,-2.1432093340642235,-2.5183585532072503
2020,5,348086,438984,2902089.53,6849012.61,2020-05-01,-2.1192636561409626,-2.4668000779598684
2020,6,549154,726781,2154122.91,10301139.70000002,2020-06-01,-2.0756596607355142,-2.4064402248089083
2020,7,799386,1078321,3437431.87,14875872.150000043,2020-07-01,-2.021393865192234,-2.326451808482402
2020,8,1005344,1386772,4397232.27,18652206.48000006,2020-08-01,-1.976729414928068,-2.260423247057761
2020,9,1340221,1864415,5739180.75,23615447.249999985,2020-09-01,-1.9041073409561264,-2.17364182904512
2020,10,1679974,2351382,5909257.16,30342161.739999853,2020-10-01,-1.8304278481925471,-2.05602637393022
2020,11,1502526,2084741,6228740.95,26217342.07999993,2020-11-01,-1.8689095647098748,-2.12814814188975
2020,12,1461120,2032070,8870038.89,25707788.22999995,2020-12-01,-1.8778889499614215,-2.1370576040145948
2021,1,1365540,1886587,6329749.25,23855678.74999998,2021-01-01,-1.898616613641633,-2.169441422257016
2021,2,1371160,1893228,5871292.41,24140540.129999977,2021-02-01,-1.8973978495708776,-2.164460669632066
2021,3,1924344,2645285,8436153.96,34477830.879999794,2021-03-01,-1.7774332973081226,-1.9837149046640776
2021,4,2170132,3000500,16030456.82,40272915.919999704,2021-04-01,-1.7241312362008636,-1.882388831523555
2021,5,2501993,3503082,21099332.66,47258338.12999959,2021-05-01,-1.652163217822765,-1.7602499160663472
2021,6,2832480,4016673,19642147.4,54974085.41999946,2021-06-01,-1.580493167742392,-1.6253413911967405
2021,7,2817711,4056150,21854858.560000002,55993029.70999945,2021-07-01,-1.5836960016500403,-1.607525324143019
2021,8,2777282,3937870,21347174.61,56103079.86999945,2021-08-01,-1.592463512791778,-1.6056011158726797
2021,9,2960414,4154680,19489925.64,61781043.909999385,2021-09-01,-1.5527491530398998,-1.506322883433437
2021,10,3456870,4860173,24610721.11,70099336.21999924,2021-10-01,-1.445086744586007,-1.3608789616981136
2021,11,3467437,4874316,25803713.830000002,71684225.72999927,2021-11-01,-1.442795164526279,-1.3331674390368493
2021,12,3210274,4584374,23093432.18,67043528.969999276,2021-12-01,-1.498564030136179,-1.4143092300685738
2022,1,2446389,3368421,13180311.4,46886780.37999958,2022-01-01,-1.664221608817476,-1.7667465399282174
