,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
731,H2NC11189,"CAREY, JAN",NC,11,DEMOCRATIC PARTY,House,Open seat,C,Democrat,jan  carey,,,,,,
733,H2OH15228,"CAREY, MIKE",OH,15,REPUBLICAN PARTY,House,Incumbent,C,Republican,mike  carey,C001126,RepMikeCarey,1457745193197780993,,,
734,H2OH15228,"CAREY, MIKE",OH,15,REPUBLICAN PARTY,House,Incumbent,C,Republican,mike  carey,C001126,MikeCareyOH15,1393186215466254336,,,
735,H0CA35146,"CARGILE, MIKE",CA,35,REPUBLICAN PARTY,House,Challenger,N,Republican,mike  cargile,,CargileForCA35,1482630957085593604,,,
737,H0MS04161,"CARL, BOYANTON",MS,4,REPUBLICAN PARTY,House,Challenger,C,Republican,boyanton  carl,,,,,,
738,H0AL01055,"CARL, JERRY LEE, JR",AL,1,REPUBLICAN PARTY,House,Incumbent,C,Republican,jerry  lee,C001054,RepJerryCarl,1341091420439015424,,,
739,H0AL01055,"CARL, JERRY LEE, JR",AL,1,REPUBLICAN PARTY,House,Incumbent,C,Republican,jerry  lee,C001054,CarlForAlabama,2237925464,,,
740,H2AK00390,"CARLE, ARLENE",AK,0,NONPARTISAN,House,Open seat,N,Other,arlene  carle,,,,,,
741,H2IL01323,"CARLSON, ERIC JOSEPH MR.",IL,1,REPUBLICAN PARTY,House,Open seat,P,Republican,eric  carlson,,EricCarlsonIL01,1482892295703871491,,,
743,H2MN01264,"CARNAHAN, JENNIFER",MN,1,REPUBLICAN PARTY,House,Open seat,P,Republican,jennifer  carnahan,,,,,,
744,H2FL12081,"CARNEVALE, MICHAEL",FL,12,REPUBLICAN PARTY,House,Challenger,C,Republican,michael  carnevale,,,,,,
745,H8MN05270,"CARNEY, BOB ""AGAIN"" JR.",MN,1,REPUBLICAN PARTY,House,Open seat,N,Republican,bob  carney,,,,,,
746,H2CA28196,"CARONNA, DOROTHY",CA,28,DEMOCRATIC PARTY,House,Challenger,N,Democrat,dorothy  caronna,,,,,,
748,H2VA10174,"CARPIO, MONICA",VA,8,REPUBLICAN PARTY,House,Challenger,P,Republican,monica  carpio,,mon_carpio,2693463043,No tweets found.,,
749,H2VA10174,"CARPIO, MONICA",VA,8,REPUBLICAN PARTY,House,Challenger,P,Republican,monica  carpio,,MonCarpioVA,1033191849509494784,,,
750,H2MI06117,"CARRA, STEPHEN",MI,4,REPUBLICAN PARTY,House,Challenger,P,Republican,stephen  carra,,,,,,
751,H2CA29087,"CARRANZA, MARGARITA MARIA MMC MMC",CA,29,REPUBLICAN PARTY,House,Challenger,P,Republican,margarita  carranza,,,,,,
752,H2IL11207,"CARROLL, MARK JOSEPH",IL,11,REPUBLICAN PARTY,House,Challenger,C,Republican,mark  carroll,,CarrollForIL11,1497780416723439619,,,
755,H2IL11199,"CARROLL, MARK JOSEPH",IL,11,REPUBLICAN PARTY,House,Challenger,N,Republican,mark  carroll,,CarrollForIL11,1497780416723439619,,,
756,H8IN07184,"CARSON, ANDRE",IN,7,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,andre  carson,C001072,Andre4Congress,267316393,,,
757,H8IN07184,"CARSON, ANDRE",IN,7,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,andre  carson,C001072,RepAndreCarson,199325935,,,
759,H2MS02179,"CARSON, MICHAEL",MS,2,REPUBLICAN PARTY,House,Challenger,N,Republican,michael  carson,,,,,,
761,H2TX08216,"CARSON, PAULETTE",TX,17,REPUBLICAN PARTY,House,Open seat,P,Republican,paulette  carson,,Carson4Tx,1400677348584919040,No tweets found.,,
762,H4GA01039,"CARTER, EARL LEROY",GA,1,REPUBLICAN PARTY,House,Incumbent,C,Republican,earl  carter,C001103,Buddy_Carter,295712099,,,
763,H4GA01039,"CARTER, EARL LEROY",GA,1,REPUBLICAN PARTY,House,Incumbent,C,Republican,earl  carter,C001103,Carter4Congress,1406691746,No tweets found.,,
764,H4GA01039,"CARTER, EARL LEROY",GA,1,REPUBLICAN PARTY,House,Incumbent,C,Republican,earl  carter,C001103,RepBuddyCarter,2973870195,,,
766,H2TX31044,"CARTER, JOHN R REP.",TX,31,REPUBLICAN PARTY,House,Incumbent,C,Republican,john  carter,C001051,RepJohnCarter,81139286,No tweets found.,,
767,H2TX31044,"CARTER, JOHN R REP.",TX,31,REPUBLICAN PARTY,House,Incumbent,C,Republican,john  carter,C001051,JudgeJohnCarter,404355121,,,
768,H2TX31044,"CARTER, JOHN R REP.",TX,31,REPUBLICAN PARTY,House,Incumbent,C,Republican,john  carter,C001051,JudgeCarter,18030431,,,
770,H2LA02149,"CARTER, TROY A. SR.",LA,2,DEMOCRATIC PARTY,House,Challenger,C,Democrat,troy  carter,C001125,troyc4Congress,18582998,,,
771,H2LA02149,"CARTER, TROY A. SR.",LA,2,DEMOCRATIC PARTY,House,Challenger,C,Democrat,troy  carter,C001125,RepTroyCarter,1352760304271241218,,,
772,H2PA17079,"CARTWRIGHT, MATTHEW A.",PA,8,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,matthew  cartwright,C001090,RepCartwright,776664410,,,
773,H2PA17079,"CARTWRIGHT, MATTHEW A.",PA,8,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,matthew  cartwright,C001090,CartwrightPA,472315803,,,
774,H2AR02087,"CARTWRIGHT, NICHOLAS",AR,2,DEMOCRATIC PARTY,House,Challenger,C,Democrat,nicholas  cartwright,,,,,,
776,H2ME02212,"CARUSO, ELIZABETH",ME,2,REPUBLICAN PARTY,House,Challenger,C,Republican,elizabeth  caruso,,lizformaine,1435710498301939716,No tweets found.,,
777,H2NY16073,"CASANOVA DOMINGUEZ, MANUEL IGNACIO",NY,16,DEMOCRATIC PARTY,House,Challenger,P,Democrat,manuel  dominguez,,,,,,
779,H2TX35144,"CASAR, GREG",TX,35,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,greg  casar,C001131,RepCasar,1499512178013057032,No tweets found.,,
780,H2TX35144,"CASAR, GREG",TX,35,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,greg  casar,C001131,GregCasar,1683515731,,,
781,H2HI02128,"CASE, EDWARD",HI,1,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,edward  case,C001055,EdCaseHawaii,21737536,No tweets found.,,
783,H2HI02128,"CASE, EDWARD",HI,1,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,edward  case,C001055,RepEdCase,1081350574589833221,,,
784,H6TX14132,"CASEY, KEITH",TX,14,REPUBLICAN PARTY,House,Challenger,N,Republican,keith  casey,,,,,,
785,H2TN03243,"CASEY, SANDY FOR",TN,3,REPUBLICAN PARTY,House,Challenger,C,Republican,sandy  casey,,,,,,
786,H2NJ11194,"CASHA, LAWRENCE A",NJ,11,REPUBLICAN PARTY,House,Challenger,C,Republican,lawrence  casha,,,,,,
787,H2UT03264,"CASPER, BRANDON 8013368524",UT,3,REPUBLICAN PARTY,House,Challenger,N,Republican,brandon  casper,,,,,,
788,H4AL03053,"CASSON, THOMAS",AL,3,LIBERTARIAN PARTY,House,Challenger,N,Other,thomas  casson,,thomascassonAL,2337338641,No tweets found.,,
790,H2NY21164,"CASTELLI, MATT",NY,21,DEMOCRATIC PARTY,House,Challenger,P,Democrat,matt  castelli,,CastelliMatt,848255386582953985,,,
792,H2NC07161,"CASTELLI, ROBERT CHRISTIAN",NC,6,REPUBLICAN PARTY,House,Challenger,N,Republican,robert  castelli,,,,,,
793,H8IL06139,"CASTEN, SEAN",IL,6,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,sean  casten,C001117,SeanCasten,66804351,,,
794,H8IL06139,"CASTEN, SEAN",IL,6,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,sean  casten,C001117,RepCasten,1083472286089396224,,,
795,H8IL06139,"CASTEN, SEAN",IL,6,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,sean  casten,C001117,VoteCasten,955598085526360064,,,
796,H0FL09115,"CASTILLO, JOSE",FL,9,REPUBLICAN PARTY,House,Challenger,P,Republican,jose  castillo,,JoseForFlorida,1146847845326217218,,,
798,H2CA42171,"CASTILLO, SAUL",CA,42,DEMOCRATIC PARTY,House,Challenger,N,Democrat,saul  castillo,,,,,,
799,H6FL11126,"CASTOR, KATHY",FL,14,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,kathy  castor,,KathyCastorFL,756123897783808000,,,
800,H6FL11126,"CASTOR, KATHY",FL,14,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,kathy  castor,,USRepKCastor,1880674038,,,
801,H2VA07154,"CASTORANI, JOHN",VA,7,REPUBLICAN PARTY,House,Challenger,P,Republican,john  castorani,,,,,,
802,H2TX35011,"CASTRO, JOAQUIN",TX,20,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,joaquin  castro,C001091,JoaquinCastrotx,231510077,,,
803,H2TX35011,"CASTRO, JOAQUIN",TX,20,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,joaquin  castro,C001091,Castro4Congress,323440720,,,
804,H2TX12101,"CATALA, RYAN JOSHUA",TX,12,REPUBLICAN PARTY,House,Challenger,C,Republican,ryan  catala,,ryanjcatala,1420184003609563138,,,
806,H2TX08299,"CATER, CORBIN ZANE",TX,8,INDEPENDENT,House,Open seat,N,Other,corbin  cater,,,,,,
807,H2TX16268,"CATER, CORBIN ZANE",TX,16,INDEPENDENT,House,Challenger,N,Other,corbin  cater,,,,,,
808,H2TX00148,"CATHEY, CAITLIN CREE",TX,0,DEMOCRATIC PARTY,House,Challenger,N,Democrat,caitlin  cathey,,,,,,
809,H2NJ12135,"CATUCCI, NICHOLAS JOSEPH",NJ,12,REPUBLICAN PARTY,House,Challenger,N,Republican,nicholas  catucci,,,,,,
810,H2FL07172,"CAVAGNA, JOSEPH",FL,7,REPUBLICAN PARTY,House,Open seat,C,Republican,joseph  cavagna,,,,,,
812,H2WA01252,"CAVALERI, VINCENT",WA,1,REPUBLICAN PARTY,House,Challenger,P,Republican,vincent  cavaleri,,cavalerifor,1450305894265155593,,,
813,H2NC07195,"CAVALIER, CRYSTAL ANN",NC,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,crystal  cavalier,,CrystalforNC,1494309082848706569,,,
815,H2NV01348,"CAVANAUGH, KEN",NV,1,LIBERTARIAN PARTY,House,Challenger,N,Other,ken  cavanaugh,,,,,,
816,H2PA17145,"CAVARETTA, DEAN",PA,17,REPUBLICAN PARTY,House,Open seat,N,Republican,dean  cavaretta,,,,,,
817,H2TX15120,"CAVAZOS, JOSE AIZAR",TX,15,REPUBLICAN PARTY,House,Challenger,C,Republican,jose  cavazos,,AizarCavazosTX,1448065776121008133,No tweets found.,,
820,H2OR02164,"CAVENER, MARK",OR,2,REPUBLICAN PARTY,House,Challenger,N,Republican,mark  cavener,,MarkCavener,46145406,No tweets found.,,
821,H0NC11233,"CAWTHORN, DAVID MADISON",NC,11,REPUBLICAN PARTY,House,Incumbent,P,Republican,david  cawthorn,C001104,CawthornforNC,1207874097251639296,,,
822,H2MO47016,"CEASAR, FELIX MR",MO,47,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,felix  ceasar,,,,,,
823,H2NY23194,"CENEDELLA, MARC CHRISTIAN",NY,23,REPUBLICAN PARTY,House,Open seat,P,Republican,marc  cenedella,,,,,,
824,H2NV00068,"CENTENO, JAIME MR JR",NV,0,REPUBLICAN PARTY,House,Challenger,N,Republican,jaime  centeno,,,,,,
825,H2OH01186,"CENTERS, BRENT W",OH,1,REPUBLICAN PARTY,House,Challenger,P,Republican,brent  centers,,,,,,
826,H2SC01085,"CENTURION, INGRID",SC,1,REPUBLICAN PARTY,House,Challenger,C,Republican,ingrid  centurion,,,,,,
827,H2NY12189,"CERROTTI, JESSE",NY,12,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jesse  cerrotti,,,,,,
828,H8OH01043,"CHABOT, STEVE",OH,1,REPUBLICAN PARTY,House,Incumbent,P,Republican,steve  chabot,C000266,SteveChabot,23775782,,,
829,H8OH01043,"CHABOT, STEVE",OH,1,REPUBLICAN PARTY,House,Incumbent,P,Republican,steve  chabot,C000266,RepSteveChabot,237750442,,,
830,H2CT03102,"CHAI, AMY FOGELSTROM DR",CT,3,LIBERTARIAN PARTY,House,Challenger,P,Other,amy  chai,,docchai2022,1445538809760784400,,,
832,H2NY20117,"CHAIRES, JUSTIN RAPHAEL MR",NY,20,DEMOCRATIC PARTY,House,Challenger,C,Democrat,justin  chaires,,,,,,
833,H2FL15209,"CHAMBERS, CHRIS",FL,14,REPUBLICAN PARTY,House,Challenger,C,Republican,chris  chambers,,,,,,
834,H2CA37353,"CHAMPION, CHRIS",CA,37,REPUBLICAN PARTY,House,Open seat,N,Republican,chris  champion,,,,,,
835,H2WA09156,"CHAN, SEA",WA,9,REPUBLICAN PARTY,House,Challenger,P,Republican,sea  chan,,,,,,
836,H2SC04121,"CHANDLER, MICHAEL",SC,4,CONSTITUTION PARTY,House,Challenger,N,Other,michael  chandler,,,,,,
837,H6TN07146,"CHANDLER, THARON",TN,4,INDEPENDENT,House,Challenger,N,Other,tharon  chandler,,,,,,
838,H2WA08240,"CHAPMAN, DAVE",WA,8,REPUBLICAN PARTY,House,Challenger,N,Republican,dave  chapman,,,,,,
839,H2SC06118,"CHAPMAN, JOHN",SC,6,REPUBLICAN PARTY,House,Challenger,N,Republican,john  chapman,,,,,,
841,H2VA11214,"CHAPPELL, MATTHEW LOUIS",VA,11,REPUBLICAN PARTY,House,Challenger,P,Republican,matthew  chappell,,Matt4VA11,,No tweets found.,Name not found.,
843,H0WA01124,"CHARTRAND, DEREK",WA,1,REPUBLICAN PARTY,House,Challenger,N,Republican,derek  chartrand,,ChartrandFor,1258253386001952768,,,
844,H2VA07204,"CHASE, AMANDA FREEMAN",VA,7,REPUBLICAN PARTY,House,Challenger,C,Republican,amanda  chase,,,,,,
846,H2GA04201,"CHAVEZ, JONATHAN",GA,4,REPUBLICAN PARTY,House,Challenger,N,Republican,jonathan  chavez,,chavez4congress,1467479031855652865,,,
847,H2OR05209,"CHAVEZ-DEREMER, LORI",OR,5,REPUBLICAN PARTY,House,Incumbent,N,Republican,lori  chavezderemer,C001135,LChavezDeRemer,4833263702,,,
848,H2OR05209,"CHAVEZ-DEREMER, LORI",OR,5,REPUBLICAN PARTY,House,Incumbent,N,Republican,lori  chavezderemer,C001135,RepLCD,1583530102297600000,No tweets found.,,
851,H2IL03170,"CHEHADE, IYMEN",IL,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,iymen  chehade,,iymen4congress,1473372933166927878,,,
853,H2CA39136,"CHEN, JAY",CA,45,DEMOCRATIC PARTY,House,Challenger,P,Democrat,jay  chen,,jfchen,14386156,,,
855,H6WY00159,"CHENEY, ELIZABETH MRS.",WY,0,REPUBLICAN PARTY,House,Incumbent,P,Republican,elizabeth  cheney,C001109,Liz_Cheney,98471035,,,
856,H6WY00159,"CHENEY, ELIZABETH MRS.",WY,0,REPUBLICAN PARTY,House,Incumbent,P,Republican,elizabeth  cheney,C001109,RepLizCheney,816719802328715264,,,
857,H2NY19135,"CHENEY, JAMIE",NY,19,DEMOCRATIC PARTY,House,Challenger,C,Democrat,jamie  cheney,,,,,,
858,H8FL20032,"CHERFILUS-MCCORMICK, SHEILA",FL,20,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,sheila  cherfilusmccormick,C001127,Sheila4Congress,988942485828308992,,,
860,H2FL22148,"CHESS, STEVEN",FL,23,REPUBLICAN PARTY,House,Challenger,C,Republican,steven  chess,,Chess4Congress,1404206814321860608,,,
862,H2NM01342,"CHICK, CAMERON ALTON MR. SR",NM,1,INDEPENDENT,House,Challenger,N,Other,cameron  chick,,,,,,
863,H2NM01375,"CHICK, CAMERON SR.",NM,1,INDEPENDENT,House,Challenger,N,Other,cameron  chick,,,,,,
864,H2CA50240,"CHIDDICK, DAVID",CA,50,REPUBLICAN PARTY,House,Challenger,N,Republican,david  chiddick,,Chiddick,31607630,No tweets found.,,
866,H2AL06183,"CHIEFFO, ANDRIA",AL,6,LIBERTARIAN PARTY,House,Challenger,N,Other,andria  chieffo,,,,,,
867,H2NJ10261,"CHILDRESS, CLENARD HOWARD JR.",NJ,10,OTHER,House,Challenger,N,Other,clenard  childress,,,,,,
869,H2MO01161,"CHILDRESS, EARL",MO,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,earl  childress,,EarlChildress,468552413,,,
870,H4GA02078,"CHILDS, VIVIAN LOUISE",GA,2,REPUBLICAN PARTY,House,Challenger,P,Republican,vivian  childs,,,,,,
872,H2CA09121,"CHIMA, HARPREET SINGH",CA,9,DEMOCRATIC PARTY,House,Open seat,P,Democrat,harpreet  chima,,harpreetchima,47595107,No tweets found.,,
873,H2CA39151,"CHING, ERIC J",CA,38,REPUBLICAN PARTY,House,Challenger,N,Republican,eric  ching,,EricChing4CD38,1412320354907811840,,,
875,H2ID02190,"CHRISTENSEN, FLINT LANDEN",ID,2,REPUBLICAN PARTY,House,Challenger,N,Republican,flint  christensen,,fb_jailbreak,1462229624209825796,,,
878,H2GA06222,"CHRISTIAN, ROBERT FRANKLIN MR. III",GA,6,DEMOCRATIC PARTY,House,Challenger,P,Democrat,robert  christian,,ChristianForGA6,1505540741984047108,,,
879,H0CA32101,"CHU, JUDY",CA,28,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,judy  chu,C001080,JudyChuCampaign,793208286,,,
880,H0CA32101,"CHU, JUDY",CA,28,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,judy  chu,C001080,RepJudyChu,193732179,,,
881,H2FL05200,"CHUBA, JON",FL,4,REPUBLICAN PARTY,House,Challenger,C,Republican,jon  chuba,,jontchuba,91584105,,,
883,H2NY25090,"CHUMERT, FESTUS MR",NY,25,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,festus  chumert,,,,,,
884,H2TX15237,"CHURCHILL, VANGELA",TX,15,REPUBLICAN PARTY,House,Challenger,N,Republican,vangela  churchill,,ForChurchill,1463308732671176707,,,
886,H4NY29148,"CIAMPOLI, JOHN",NY,16,REPUBLICAN PARTY,House,Challenger,N,Republican,john  ciampoli,,,,,,
887,H2VA07253,"CIARCIA, GINA RENEE MRS.",VA,7,REPUBLICAN PARTY,House,Challenger,C,Republican,gina  ciarcia,,GinaCiarcia,,No tweets found.,Name not found.,
889,H2PA06197,"CIARROCCHI, GUY",PA,6,REPUBLICAN PARTY,House,Challenger,P,Republican,guy  ciarrocchi,,guyciarrocchi,1431608684107472902,,,
891,H0RI01073,"CICILLINE, DAVID",RI,1,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,david  cicilline,C001084,RepCicilline,462143773,,,
892,H0RI01073,"CICILLINE, DAVID",RI,1,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,david  cicilline,C001084,davidcicilline,23593446,,,
893,H2SC01101,"CINGOLANI, REBECCA NIESS",SC,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,rebecca  cingolani,,,,,,
894,H2AZ02360,"CISCOMANI, JUAN",AZ,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,juan  ciscomani,C001133,juanciscomani,62874548,No tweets found.,,
895,H2AZ02360,"CISCOMANI, JUAN",AZ,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,juan  ciscomani,C001133,RepCiscomani,1603530970593775616,No tweets found.,,
896,H2AZ02360,"CISCOMANI, JUAN",AZ,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,juan  ciscomani,C001133,JuanCiscomani,62874548,,,
897,H0TX28077,"CISNEROS, JESSICA",TX,28,DEMOCRATIC PARTY,House,Challenger,P,Democrat,jessica  cisneros,,JCisnerosTX,1136317807954731014,,,
899,H2TX34188,"CISNEROS, LAURA E. DR.",TX,34,DEMOCRATIC PARTY,House,Challenger,P,Democrat,laura  cisneros,,,,,,
900,H2VA11206,"CLANCY, MIKE",VA,10,REPUBLICAN PARTY,House,Challenger,C,Republican,mike  clancy,,Clancy4Congress,,No tweets found.,Name not found.,
902,H2TX32174,"CLANTON, ANDREW SCOTT MR",TX,32,DEMOCRATIC PARTY,House,Challenger,N,Democrat,andrew  clanton,,,,,,
903,H2NH14018,"CLAREMONT, MATHEW MR",NH,14,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,mathew  claremont,,,,,,
904,H2ID25019,"CLAREMONT, PETER FORDHAM MR",ID,25,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,peter  claremont,,,,,,
906,H2NC09225,"CLARK, BEN",NC,9,DEMOCRATIC PARTY,House,Challenger,N,Democrat,ben  clark,,BenClarkNC,1337037725141258243,,,
907,H2MI04286,"CLARK, CURTIS",MI,4,U.S. TAXPAYERS PARTY,House,Challenger,N,Other,curtis  clark,,,,,,
908,H0TN09111,"CLARK, DENNIS JEFFREY",TN,9,INDEPENDENT,House,Challenger,N,Other,dennis  clark,,,,,,
909,H2FL25083,"CLARK, DREW-MONTEZ DR.",FL,20,REPUBLICAN PARTY,House,Challenger,P,Republican,drewmontez  clark,,,,,,
911,H4MA05084,"CLARK, KATHERINE",MA,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,katherine  clark,C001101,WhipKClark,2293131060,,,
912,H4MA05084,"CLARK, KATHERINE",MA,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,katherine  clark,C001101,RepKClark,,No tweets found.,Name not found.,
913,H4MA05084,"CLARK, KATHERINE",MA,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,katherine  clark,C001101,TeamKClark,23201727,,,
914,H2NC04150,"CLARK, ROBERT BENJAMIN III",NC,4,DEMOCRATIC PARTY,House,Open seat,P,Democrat,robert  clark,,,,,,
915,H2WI04070,"CLARK, TRAVIS R. MR.",WI,4,REPUBLICAN PARTY,House,Challenger,N,Republican,travis  clark,,,,,,
916,H2MI43011,"CLARK, WYATT BRONSON",MI,43,DEMOCRATIC PARTY,House,Challenger,N,Democrat,wyatt  clark,,,,,,
917,H2ID29011,"CLARKE, GEORGE NATHANIEL MR",ID,29,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,george  clarke,,,,,,
918,H4NY11138,"CLARKE, YVETTE D",NY,9,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,yvette  clarke,C001067,RepYvetteClarke,240812994,,,
919,H4NY11138,"CLARKE, YVETTE D",NY,9,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,yvette  clarke,C001067,VoteYvette,550131748,,,
920,H2WI08089,"CLARMONT, SHAUN MICHAEL",WI,8,REPUBLICAN PARTY,House,Challenger,P,Republican,shaun  clarmont,,,,,,
921,H2AK01141,"CLAUS, SANTA",AK,0,UNAFFILIATED,House,Open seat,N,Other,santa  claus,,SantaClausforAK,1509938817754558465,,,
923,H2GA14069,"CLAY, MARK DANIEL",GA,14,REPUBLICAN PARTY,House,Challenger,C,Republican,mark  clay,,,,,,
924,H2TX27117,"CLAYTOR, CHRISTOPHER J.",TX,3,LIBERTARIAN PARTY,House,Open seat,N,Other,christopher  claytor,,,,,,
925,H4MO05234,"CLEAVER, EMANUEL II",MO,5,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,emanuel  cleaver,C001061,repcleaver,163570705,,,
926,H4MO05234,"CLEAVER, EMANUEL II",MO,5,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,emanuel  cleaver,C001061,Vote4Cleaver,801478506,No tweets found.,,
927,H2CA38260,"CLEMMONS, MITCHELL",CA,38,REPUBLICAN PARTY,House,Challenger,N,Republican,mitchell  clemmons,,,,,,
928,H0TX30081,"CLEVELAND, SHENITA LACHE",TX,30,DEMOCRATIC PARTY,House,Open seat,P,Democrat,shenita  cleveland,,,,,,
930,H2NC14027,"CLICK, NATHAN",NC,13,DEMOCRATIC PARTY,House,Challenger,P,Democrat,nathan  click,,NayteClick,1314028535334526982,,,
931,H2VT01092,"CLIFFORD, SIANAY CHASE",VT,0,DEMOCRATIC PARTY,House,Open seat,P,Democrat,sianay  clifford,,,,,,
933,H8VA06104,"CLINE, BENJAMIN LEE",VA,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,benjamin  cline,C001118,RepBenCline,1072158357237174272,,,
934,H8VA06104,"CLINE, BENJAMIN LEE",VA,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,benjamin  cline,C001118,Cline4Virginia,40264497,,,
935,H8TX27049,"CLOUD, MICHAEL",TX,27,REPUBLICAN PARTY,House,Incumbent,C,Republican,michael  cloud,C001115,MichaelJCloud,23725826,,,
936,H8TX27049,"CLOUD, MICHAEL",TX,27,REPUBLICAN PARTY,House,Incumbent,C,Republican,michael  cloud,C001115,RepCloudTX,1039879658400112640,,,
937,H2TN08168,"CLOUSE, GARY DEAN DR.",TN,8,REPUBLICAN PARTY,House,Challenger,N,Republican,gary  clouse,,,,,,
938,H2SC02042,"CLYBURN, JAMES E.",SC,6,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,james  clyburn,C000537,ClyburnSC06,2389877058,,,
939,H2SC02042,"CLYBURN, JAMES E.",SC,6,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,james  clyburn,C000537,RepJamesClyburn,188019606,No tweets found.,,
941,H0GA09246,"CLYDE, ANDREW",GA,9,REPUBLICAN PARTY,House,Incumbent,N,Republican,andrew  clyde,C001116,Rep_Clyde,1357017361568694274,,,
942,H2WA05113,"CLYNCH, SEAN R",WA,5,REPUBLICAN PARTY,House,Challenger,P,Republican,sean  clynch,,,,,,
944,H2NC11254,"COATNEY, DAVID ADAM",NC,11,LIBERTARIAN PARTY,House,Challenger,P,Other,david  coatney,,TheRealCoatney,1416039054454444032,,,
945,H2KY03248,"COBBLE, DANIEL",KY,3,REPUBLICAN PARTY,House,Open seat,N,Republican,daniel  cobble,,,,,,
947,H2AL04105,"COCHRAN, JOHN",AL,4,LIBERTARIAN PARTY,House,Challenger,P,Other,john  cochran,,JohnnyCCochran,1524935707424342016,,,
949,H2PA17186,"CODER, KATHY",PA,17,REPUBLICAN PARTY,House,Challenger,C,Republican,kathy  coder,,KathyCoder,717067261,,,
951,H2PA03145,"COGBILL, MICHAEL",PA,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,michael  cogbill,,MichaelforPa,1227284287139074048,,,
952,H2AK01133,"COGHILL, JOHN B JR.",AK,0,REPUBLICAN PARTY,House,Open seat,C,Republican,john  coghill,,,,,,
953,H6TN09068,"COHEN, STEVE I MR.",TN,9,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,steve  cohen,C001068,RepCohen,162069635,,,
954,H6TN09068,"COHEN, STEVE I MR.",TN,9,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,steve  cohen,C001068,ReElectCohen,34884583,No tweets found.,,
956,H2TX07119,"COHEN, TINA MRS.",TX,7,REPUBLICAN PARTY,House,Challenger,N,Republican,tina  cohen,,tinacohen18,17264863,,,
958,H4FL15155,"COHN, ALAN",FL,15,DEMOCRATIC PARTY,House,Challenger,P,Democrat,alan  cohn,,AlanMCohn,1719302509,,,
960,H2MA05153,"COLARUSSO, CAROLINE",MA,5,REPUBLICAN PARTY,House,Challenger,P,Republican,caroline  colarusso,,CarolineforMA5,1517108746509561857,,,
961,H2IL01208,"COLE, JAHMAL",IL,1,DEMOCRATIC PARTY,House,Open seat,P,Democrat,jahmal  cole,,jahmal_cole,,No tweets found.,Name not found.,
963,H2IN09217,"COLE, JONATHON DALE",IN,9,DEMOCRATIC PARTY,House,Open seat,N,Democrat,jonathon  cole,,,,,,
