"job_id","job_title","location","salary_currency","salary_min","salary_max","website","highest_ed","years_exp","continent","country","skills"
"41783","data engineer hf","France","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","France","Agile, Ansible, Architecture, AWS, Azure, Big Data, Cassandra, Data management, DataOps, DevOps, GCP, Git, Grafana, HBase, MongoDB, NoSQL, PHP, Power BI, Python, Qlik, Robotics, RPA, SQL, Collaboration, .NET, Data science, Tableau"
"41794","consultant senior data visualisation hf","France","USD",62000,115000,"ai-jobs.net",NA,NA,"Europe","France","Big Data, Data management, PHP, Power BI, Python, Qlik, QlikView, Robotics, RPA, Collaboration, .NET, Tableau, Communication, Data visualization"
"41795","compliance reportingdata visualization designer french speaker","Portugal","USD",39000,73000,"ai-jobs.net",NA,NA,"Europe","Portugal","Banking, Business Intelligence, C++, Data visualization, Excel, Power BI, SQL, Tableau, Programming, C, Communication"
"41805","operations data analyst","United Kingdom","USD",51000,94000,"ai-jobs.net",NA,NA,"Europe","United Kingdom","Agile, Bitbucket, Business Intelligence, Data analysis, Data Analytics, Excel, Git, Machine Learning, Pandas, Power BI, Python, SQL, Tableau, Testing, Automation, Data visualization"
"41803","junior supply chain data analyst premaster programm","Switzerland","USD",42000,60000,"ai-jobs.net","master",NA,"Europe","Switzerland","Data Analytics, Excel, Julia, Power BI, SQL"
"41798","devops engineer cloud big data platform fmdiv","Germany","USD",62000,115000,"ai-jobs.net",NA,NA,"Europe","Germany","Azure, Big Data, Bitbucket, CI/CD, Computer Science, DevOps, Engineering, Git, Python, Scala, Spark, Terraform, Automation, Testing, Data processing, Scripting, C"
"41784","senior data engineer","Colombia","USD",115000,180000,"ai-jobs.net",NA,NA,"Americas","Colombia","API Development, APIs, AWS, Big Data, Data Analytics, Data pipelines, Engineering, ETL, Pipelines, Collaboration, Data engineering, Programming, Python"
"41817","staff data engineer big data","India","USD",115000,180000,"ai-jobs.net","master",8,"Asia","India","Agile, Angular, API Development, APIs, Architecture, Big Data, Computer Science, DB2, Git, Hadoop, HBase, HDFS, Kafka, Map Reduce, Maven, Microservices, MongoDB, MySQL, NoSQL, PostgreSQL, Python, Scala, Spark, Automation, Collaboration, Problem solving, Communication"
"41802","data analyst","Costa Rica","USD",42000,60000,"ai-jobs.net",NA,NA,"Americas","Costa Rica","Data Analytics, Excel, Research"
"41797","cdi media data strategist hf","France","USD",62000,115000,"ai-jobs.net",NA,NA,"Europe","France","Spark"
"41809","finance data engineer","Switzerland","USD",61000,135000,"ai-jobs.net",NA,NA,"Europe","Switzerland","Big Data, Computer Science, Engineering, ETL, Excel, Finance, Linux, Mathematics, Python, Spotfire, SQL, Travel, KPIs, Programming, Talend, HTML, Curiosity, Communication"
"41782","data engineer hardware","United States","USD",129000,185000,"ai-jobs.net",NA,NA,"Americas","United States","Airflow, APIs, AWS, Banking, BigQuery, Blockchain, Crypto, Data pipelines, Data quality, Engineering, ETL, Finance, FiveTran, GCP, Git, Lambda, Linux, Pipelines, Python, RDBMS, Redshift, Ruby, Security, Snowflake, Data engineering, Collaboration, Automation, SQL, Programming, Command line, C, Open Source"
"41769","data analystin fur customer analytics remote moglich","Germany","USD",75000,130000,"ai-jobs.net",NA,NA,"Europe","Germany","Data Analytics, KPIs, Power BI, SQL, Data visualization, Tableau"
"41753","consultante data science bureau de lyon","France","USD",39000,73000,"ai-jobs.net",NA,NA,"Europe","France","Big Data, Consulting, Linux, Machine Learning, MATLAB, Perl, Python, R, R&D, Data science, SAS, js, C++, Unix"
"41788","sr data engineer hybrid","United States","USD",115000,180000,"ai-jobs.net",NA,8,"Americas","United States","Athena, AWS, Big Data, Business Intelligence, Clustering, Computer Science, DataOps, Data pipelines, DevOps, Distributed Systems, ELT, Engineering, ETL, Kafka, Kinesis, Lambda, Machine Learning, Mathematics, NoSQL, Pipelines, Python, R, R&D, Redshift, Research, Snowflake, SQL, Statistics, Collaboration, Data visualization, Data integration, Statistical analysis, Automation, Data engineering, Data science, Streaming, Programming, Data modeling"
"41754","consultante data science","France","USD",39000,73000,"ai-jobs.net",NA,NA,"Europe","France","Big Data, Consulting, Linux, Machine Learning, MATLAB, Perl, Python, R, Data science, SAS, js, C++, Unix"
"41765","manufacturing data engineer","United States","USD",61000,135000,"ai-jobs.net","bachelor",4,"Americas","United States","Architecture, Engineering, Git, JavaScript, Linux, Mathematics, Oracle, Python, Robotics, SAS, Spark, SQL, Creativity, C, C++, C#, .NET, HTML, STEM"
"41755","une data scientist","France","USD",39000,1e+05,"ai-jobs.net",NA,NA,"Europe","France","Business Analytics, Business Intelligence, Git, MATLAB, Oracle, Plotly, Python, R, RapidMiner, SQL, Data visualization, Communication, Tableau"
"41800","senior data analyst mwd","Germany","USD",92000,130000,"ai-jobs.net",NA,NA,"Europe","Germany","Business Intelligence, JavaScript, KPIs, Machine Learning, Power BI, Qlik, Tableau, UX, Data visualization, Google Analytics, Google Tag Manager, HTML, CSS"
"41751","consultante data scientist recherche operationnelle","France","USD",39000,1e+05,"ai-jobs.net",NA,NA,"Europe","France","Big Data, Consulting, Julia, Linux, Machine Learning, MATLAB, Perl, Python, R, R&D, Data science, SAS, js, C++, Unix"
"41763","databrickssparkscala senior data engineer pipeline","United Kingdom","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","United Kingdom","Agile, APIs, Architecture, AWS, Azure, Big Data, Cassandra, Data Analytics, Databricks, Data management, Data quality, Data warehouse, DevOps, ELT, ETL, Kafka, MongoDB, Neo4j, NoSQL, Open Source, Oracle, Pipelines, PostgreSQL, Python, RDBMS, Scala, Spark, SQL, SSIS, Streaming, Talend, API, Unstructured data"
