,word,value
869,compassion,-4
870,competitive,-4
871,control,-4
872,council,-4
873,countries,-4
874,courage,-4
875,coverage,-4
876,current,-4
877,defend,-4
878,democracy,-4
879,democratic,-4
880,deserve,-4
881,didnt,-4
882,dignity,-4
883,dollars,-4
884,excuse,-4
885,foreign,-4
886,freedom,-4
887,governments,-4
888,happen,-4
889,hatred,-4
890,healthcare,-4
891,honor,-4
892,horrible,-4
893,human,-4
894,hussein,-4
895,immigration,-4
896,including,-4
897,incredible,-4
898,infrastructure,-4
899,intelligence,-4
900,iraqi,-4
901,justice,-4
902,laughter,-4
903,leaders,-4
904,level,-4
905,liberty,-4
906,lower,-4
907,marriage,-4
908,massive,-4
909,media,-4
910,meeting,-4
911,middle,-4
912,military,-4
913,millions,-4
914,model,-4
915,money,-4
916,murder,-4
917,nation,-4
918,nations,-4
919,paris,-4
920,peace,-4
921,percent,-4
922,person,-4
923,press,-4
924,reagan,-4
925,reform,-4
926,regime,-4
927,regimes,-4
928,regulations,-4
929,relief,-4
930,remember,-4
931,resolutions,-4
932,respect,-4
933,rights,-4
934,russia,-4
935,saddam,-4
936,senator,-4
937,seniors,-4
938,societies,-4
939,society,-4
940,story,-4
941,taxes,-4
942,terrible,-4
943,terror,-4
944,terrorist,-4
945,terrorists,-4
946,theyre,-4
947,tremendous,-4
948,trillion,-4
949,violence,-4
950,vital,-4
951,wages,-4
952,wealth,-4
953,weapons,-4
954,women,-4
955,workers,-4
956,youre,-4
957,accord,-4
958,approved,-4
959,beautiful,-4
960,dakota,-4
961,obamacare,-4
962,statement,-4
963,steve,-4
964,talking,-4
965,trillions,-4
