,date_created,username,verified_status,tweet_id,likes,views,replies,retweets,source,language,retweeted_id,quoted_id,text
259,2020-01-01 01:22:04+00:00,CAgovernor,True,1212182166064398341,10,,2,1,Twitter for iPhone,en,,,"Approximately 1 million Californians are without safe drinking water.

In July of 2019, the Safe and Affordable Drinking Water Fund was established to help local water systems provide safe drinking water to communities without it. #CaliforniaForAll https://t.co/bb9QKRKZ5K"
260,2020-01-01 21:33:15+00:00,GavinNewsom,True,1212486971039178752,5028,,4197,529,Twitter for iPhone,en,,,"Happy New Year! What an incredible decade. We’ve accomplished so much in CA by standing up for our values and taking on some of the biggest issues -- from healthcare to gun violence to climate change. 

Let’s keep it going. 

Here’s to 2020 and the decade ahead!!"
261,2020-01-01 01:37:39+00:00,GovLauraKelly,True,1212186087466176514,15,,5,1,Twitter for iPhone,en,,,We increased funding for higher education and challenged our Regents universities to ensure that funding protects Kansas college students from a tuition hike for the first time in years. #GovKellyRecap2019 https://t.co/l2kYfL9vZy
262,2020-01-01 01:19:34+00:00,GovLauraKelly,True,1212181537883602945,14,,2,2,Twitter for iPhone,en,,,"In conjunction with @SecretaryToland, we established @kansasgrowth – a comprehensive strategy for economic growth in the state. A team of stakeholders, business leaders and economic development professionals will implement three phases for economic growth. #GovKellyRecap2019 https://t.co/UUnhUWpB7A"
263,2020-01-01 00:52:49+00:00,GovLauraKelly,True,1212174806109630464,25,,3,7,Twitter for iPhone,en,,,"In 2019 I appointed @LtGovRogers to lead the newly-established Office of Rural Prosperity, which is developing statewide policies and initiatives for improving life in rural communities that have been neglected for far too long. #GovKelly2019Recap https://t.co/HH5bmcEgLN"
264,2020-01-01 00:26:27+00:00,GovLauraKelly,True,1212168169642774528,17,,2,2,Twitter for iPhone,en,,,"Current labor market data for November 2019, shows that - for the second month in a row - Kansas maintained its lowest rate of unemployment in 40 years at 3.1%. Over the past year, Kansas also experienced job creation and positive wage growth. #GovKelly2019Recap https://t.co/cuBRu64gjL"
265,2020-01-01 14:00:01+00:00,HouseGOP,True,1212372909211013120,539,,54,78,TweetDeck,en,,,Wishing you and your family a #HappyNewYear! https://t.co/VAsR0hoRkD
266,2020-01-01 14:04:39+00:00,AaronPBean,True,1212374076028645377,18,,1,0,Twitter for iPhone,en,,,"Happy New Year! I hope 2020 brings you joy, contentment, and prosperity! https://t.co/4X2eWGXSph"
267,2020-01-01 13:49:52+00:00,Adrian_Fontes,True,1212370355274174466,5,,2,0,Twitter for iPhone,en,,,They say people go crazy with new year resolutions...why am I the only one at the gym?
268,2020-01-01 12:45:01+00:00,Adrian_Fontes,True,1212354035174428672,40,,1,10,Twitter for iPhone,en,,,"This year marks 100 years of suffrage for women.
Are you encouraging all your friends and relatives to register and vote?
#ProtectDemocracy"
