"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
30353551.6396041,-13011753.8088717,73718857.0880799,-35967959.8334612,96675063.1126694
30353551.6396041,-13056241.0016319,73763344.28084,-36035997.1235146,96743100.4027227
30353551.6396041,-13100682.64971,73807785.9289182,-36103964.7589876,96811068.0381957
30353551.6396041,-13145078.8927024,73852182.1719105,-36171862.9533742,96878966.2325824
30353551.6396041,-13189429.8694934,73896533.1487015,-36239691.91908,96946795.1982882
30353551.6396041,-13233735.718261,73940838.9974691,-36307451.8674299,97014555.146638
30353551.6396041,-13277996.5764815,73985099.8556897,-36375143.0086757,97082246.2878839
30353551.6396041,-13322212.5809348,74029315.8601429,-36442765.5520041,97149868.8312123
30353551.6396041,-13366383.8677088,74073487.146917,-36510319.7055439,97217422.9847521
30353551.6396041,-13410510.5722051,74117613.8514132,-36577805.6763736,97284908.9555817
30353551.6396041,-13454592.8291428,74161696.108351,-36645223.6705286,97352326.9497368
30353551.6396041,-13498630.7725644,74205734.0517726,-36712573.893009,97419677.1722172
30353551.6396041,-13542624.5358397,74249727.8150479,-36779856.5477864,97486959.8269946
30353551.6396041,-13586574.251671,74293677.5308791,-36847071.8378114,97554175.1170195
30353551.6396041,-13630480.0520974,74337583.3313056,-36914219.9650205,97621323.2442286
30353551.6396041,-13674342.0684999,74381445.347708,-36981301.1303434,97688404.4095515
30353551.6396041,-13718160.4316055,74425263.7108136,-37048315.53371,97755418.8129181
30353551.6396041,-13761935.2714921,74469038.5507003,-37115263.3740572,97822366.6532654
30353551.6396041,-13805666.7175929,74512769.996801,-37182144.8493359,97889248.128544
30353551.6396041,-13849354.8987006,74556458.1779088,-37248960.1565177,97956063.4357259
30353551.6396041,-13892999.9429724,74600103.2221805,-37315709.491602,98022812.7708102
30353551.6396041,-13936601.9779337,74643705.2571419,-37382393.0496223,98089496.3288304
30353551.6396041,-13980161.1304832,74687264.4096913,-37449011.0246529,98156114.3038611
30353551.6396041,-14023677.5268964,74730780.8061045,-37515563.609816,98222666.8890242
30353551.6396041,-14067151.2928304,74774254.5720386,-37582050.9972876,98289154.2764957
30353551.6396041,-14110582.5533283,74817685.8325364,-37648473.3783041,98355576.6575123
